["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.37, 100204, 286, 474, 17, 0, 44, 705, 87510
2.92, 58786, 2915, 3018, 88, 0, 1702, 8499, 70420
2.92, 58786, 2915, 3018, 88, 0, 1702, 8499, 70420
2.06, 56648, 12517, 13894, 271, 23, 3495, 26375, 40502
3.04, 42534, 8486, 9857, 4194, 0, 5738, 25899, 60406
2.66, 44682, 4497, 4772, 264, 0, 1266, 11974, 29334
2.5, 54042, 15457, 16176, 557, 0, 3430, 40212, 01085
2.88, 63558, 10142, 11249, 80, 3, 3279, 29916, 30132
3.17, 118625, 3903, 4087, 0, 0, 259, 12365, 46814
2.58, 36966, 17218, 18844, 6437, 9, 10113, 44991, 01902
2.35, 27402, 8359, 9400, 5819, 0, 6427, 20440, 79902
2.35, 27402, 8359, 9400, 5819, 0, 6427, 20440, 79902
2.4, 42364, 17379, 18486, 2828, 26, 8753, 41983, 87123
2.14, 26440, 9007, 10306, 3138, 11, 6623, 20772, 87102
2.76, 55488, 7609, 8283, 2617, 0, 2003, 21016, 07203
3.44, 38817, 5077, 5459, 3769, 0, 2818, 17945, 78224
3.79, 42831, 14240, 15174, 17432, 66, 11414, 54196, 90723
2.6, 50592, 19425, 21033, 6126, 60, 8204, 50845, 02151
2.81, 53489, 10483, 11450, 886, 0, 4360, 29726, 01851
2.38, 52093, 10352, 11009, 394, 0, 2088, 25039, 02745
2.97, 152305, 5499, 5767, 81, 0, 278, 16620, 07481
3.15, 54924, 5910, 7066, 1684, 9, 4266, 18639, 93560
2.94, 41807, 16346, 19869, 6447, 73, 13125, 52094, 92507
2.24, 57754, 6323, 6726, 60, 0, 1005, 14328, 15234
2.58, 60381, 11553, 12115, 613, 15, 2195, 29816, 46217
3.04, 32321, 3891, 4585, 1994, 48, 2791, 11871, 46327
2.7, 89916, 14468, 15196, 548, 0, 2187, 39102, 60137
2.35, 50807, 12134, 13570, 88, 0, 3234, 29076, 62226
2.58, 87357, 6735, 7132, 49, 12, 956, 17368, 60304
2.68, 55565, 7330, 7875, 981, 0, 2580, 20223, 95827
2.56, 48662, 15501, 16918, 3908, 14, 4204, 40383, 98801
3.43, 43283, 16257, 18020, 9580, 143, 12159, 56103, 92324
2.33, 48380, 19024, 20193, 755, 61, 6726, 45106, 97504
2, 50087, 15586, 23832, 2988, 32, 3107, 31399, 92260
3.01, 87249, 10471, 11004, 379, 10, 1775, 31642, 91214
4.37, 58186, 20036, 20919, 28471, 201, 15545, 87910, 92704
2.09, 112727, 6084, 6627, 26, 0, 907, 12759, 92625
2.7, 55744, 12847, 13797, 4454, 26, 5501, 35290, 95401
2.3, 46392, 6485, 6951, 88, 0, 1958, 15280, 53566
2.82, 122600, 21110, 22206, 459, 0, 2539, 59944, 95014
3.03, 28185, 9866, 13059, 3973, 0, 10441, 30003, 46312
2.24, 36583, 17679, 19409, 616, 26, 8420, 40485, 14701
2.72, 37471, 3008, 3556, 54, 0, 1259, 8398, 42748
2.46, 67760, 12667, 13537, 3907, 0, 4952, 31343, 95126
2.89, 83657, 15080, 16144, 406, 19, 3341, 43980, 94116
2.49, 57449, 14174, 15197, 570, 0, 3948, 36460, 51503
2.26, 42492, 30792, 33866, 3449, 55, 13087, 71129, 11235
3.14, 36535, 19047, 20569, 13675, 44, 16763, 60061, 80219
3.58, 43760, 8263, 8840, 6741, 12, 6526, 29711, 93662
2.56, 22828, 6739, 9231, 1169, 0, 6706, 17346, 61104
2.64, 29893, 4600, 5327, 31, 0, 3294, 12978, 32641
2.22, 41873, 19114, 20786, 91, 5, 7854, 44907, 04401
3.52, 34597, 10951, 11753, 11939, 48, 11344, 39076, 90031
2.93, 40910, 14796, 16921, 7035, 0, 9851, 43587, 85051
2.43, 75224, 5444, 6147, 261, 0, 471, 13245, 06413
2.14, 43790, 6777, 7342, 60, 0, 2085, 14748, 12801
2.22, 48501, 8667, 9568, 67, 0, 2485, 19571, 12047
2.83, 54180, 7528, 7808, 1816, 0, 2904, 21328, 07205
