["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.27, 62239, 7728, 8149, 428, 7, 1254, 17704, 55431
2.36, 49068, 9070, 9542, 1061, 0, 2665, 21597, 55420
2.48, 45206, 11067, 12148, 47, 0, 5359, 31112, 17815
2.48, 45206, 11067, 12148, 47, 0, 5359, 31112, 17815
2.95, 98942, 959, 1140, 41, 0, 26, 2836, 08804
2.47, 49167, 1110, 1192, 0, 0, 295, 2743, 63627
2.37, 37961, 809, 927, 9, 0, 272, 1953, 16912
2.4, 43485, 5290, 6027, 657, 29, 2145, 12768, 95490
2.7, 45904, 1192, 1280, 37, 0, 330, 3220, 75416
2.29, 35607, 11694, 12893, 506, 0, 5262, 27423, 97420
2.49, 118713, 9704, 10258, 194, 0, 964, 24573, 95032
2.92, 52909, 21298, 23729, 4638, 1, 11506, 63397, 92021
2.47, 47240, 4049, 4730, 274, 0, 2069, 11239, 49103
2.11, 60482, 9940, 11242, 103, 0, 1793, 22242, 35801
2.56, 46758, 1673, 1766, 215, 16, 637, 4308, 35049
2.38, 29058, 2528, 2932, 328, 0, 1787, 7997, 32424
2.38, 29058, 2528, 2932, 328, 0, 1787, 7997, 32424
2.38, 29058, 2528, 2932, 328, 0, 1787, 7997, 32424
2.6, 35845, 2876, 3543, 433, 0, 1740, 7485, 35031
2.44, 50482, 5512, 5996, 69, 0, 1774, 14209, 37617
2.44, 50482, 5512, 5996, 69, 0, 1774, 14209, 37617
2.06, 40950, 1735, 4118, 41, 0, 620, 3665, 28605
2.78, 45329, 9647, 10772, 833, 0, 5084, 27089, 46221
2.61, 42225, 13154, 15740, 683, 0, 7165, 34560, 32506
2.24, 54294, 11034, 11998, 117, 0, 2177, 25060, 45236
3.41, 63109, 1979, 2171, 26, 0, 494, 6757, 17519
2.5, 109617, 7383, 7821, 116, 0, 734, 18598, 19422
2.74, 43882, 17732, 19994, 1366, 15, 6791, 49662, 28540
2.33, 39125, 16254, 17474, 85, 0, 6235, 39615, 59101
2.77, 98917, 139, 167, 0, 0, 18, 385, 89004
2.22, 41000, 1928, 2101, 75, 0, 645, 4465, 56013
2.22, 41000, 1928, 2101, 75, 0, 645, 4465, 56013
2.22, 41000, 1928, 2101, 75, 0, 645, 4465, 56013
1.45, 48000, 20, 37, 0, 0, 2, 29, 85922
2.63, 47053, 754, 1013, 0, 0, 329, 1981, 65611
2.63, 47053, 754, 1013, 0, 0, 329, 1981, 65611
2.63, 47053, 754, 1013, 0, 0, 329, 1981, 65611
2.84, 101049, 11997, 12486, 141, 25, 1271, 34172, 37922
2.51, 73650, 1539, 1609, 3, 0, 107, 3860, 52726
2.65, 60169, 13740, 14771, 1817, 0, 3964, 37041, 76108
2.61, 47989, 1187, 1647, 125, 0, 528, 3191, 95457
2.86, 78009, 9064, 9503, 163, 0, 1211, 27355, 55014
2.35, 70305, 18472, 19366, 246, 11, 2475, 43454, 80123
1.92, 45507, 7175, 8221, 29, 0, 1941, 13941, 98368
2.06, 45074, 1232, 1766, 0, 0, 356, 2552, 04614
2.44, 41719, 522, 576, 0, 0, 142, 1362, 68930
2.44, 41719, 522, 576, 0, 0, 142, 1362, 68930
2.87, 62857, 2238, 2386, 46, 0, 677, 6485, 64058
2.76, 153563, 10876, 11379, 118, 15, 1091, 30215, 95070
2.48, 90951, 8460, 8812, 116, 0, 883, 21408, 02021
2.48, 53750, 677, 864, 13, 0, 201, 1681, 95525
2.53, 45003, 12065, 14185, 1497, 1, 5759, 31615, 32724
3.21, 44679, 16978, 17998, 24193, 0, 7852, 55301, 33165
2.72, 51169, 13521, 14382, 439, 0, 3542, 36843, 40229
2.38, 42669, 2463, 2843, 88, 0, 771, 6033, 56164
2.25, 37652, 1278, 1440, 12, 0, 581, 2933, 97845
2.41, 63605, 2837, 2981, 0, 0, 295, 7101, 17961
2.4, 53421, 694, 736, 4, 0, 54, 1667, 17929
2.53, 84335, 12494, 13320, 757, 0, 2408, 31658, 80503
2.59, 45088, 1187, 1366, 34, 0, 298, 3278, 38610
2.47, 45334, 4603, 4945, 23, 0, 1387, 11437, 17972
3.04, 102919, 6337, 6638, 455, 0, 750, 19743, 10567
2.41, 63605, 2837, 2981, 0, 0, 295, 7101, 17961
2.33, 41875, 209, 269, 0, 0, 114, 487, 05081
1.81, 57857, 48, 48, 0, 0, 15, 87, 17933
2.38, 39266, 14963, 16717, 925, 0, 10069, 38064, 95926
2.65, 78021, 10918, 11863, 741, 62, 1993, 28938, 95682
2.75, 84706, 17989, 19234, 646, 11, 2831, 49554, 95747
3.12, 62487, 13809, 14445, 706, 0, 3496, 43376, 84074
2.8, 101274, 1628, 1696, 0, 15, 58, 4610, 11715
2.52, 78227, 7315, 8217, 34, 33, 588, 18685, 04074
2.58, 54563, 16702, 17921, 2300, 0, 5611, 43566, 95610
2.66, 47375, 1204, 1419, 44, 0, 269, 3198, 75424
3.6, 43835, 8812, 9443, 8065, 202, 6168, 31736, 77053
2.7, 49417, 1439, 2099, 5, 0, 354, 3881, 18834
2.56, 54611, 3959, 4662, 40, 0, 946, 10305, 67410
2.45, 49280, 17917, 19720, 500, 0, 7516, 44426, 65202
2.76, 31964, 994, 1387, 0, 0, 628, 2745, 24053
2.4, 49802, 14097, 15845, 478, 0, 3168, 34259, 64133
2.36, 43304, 676, 981, 0, 0, 72, 1596, 28693
2.47, 38175, 8698, 10427, 263, 0, 5277, 21648, 29678
2.42, 46544, 15254, 16423, 2680, 0, 7545, 40856, 99362
2.94, 91825, 12877, 14187, 267, 0, 1014, 38162, 30809
2.32, 33526, 4588, 7984, 233, 0, 2057, 10759, 30513
2.61, 66582, 4545, 5456, 29, 0, 700, 11910, 25425
2.5, 46161, 3608, 6083, 404, 0, 1224, 9036, 85929
2.69, 74316, 5931, 6586, 85, 0, 759, 15926, 22963
2.66, 47375, 1204, 1419, 44, 0, 269, 3198, 75424
2.6, 50238, 15939, 17480, 1603, 0, 4663, 41580, 29651
2.5, 46161, 3608, 6083, 404, 0, 1224, 9036, 85929
2.55, 57443, 1215, 1330, 0, 0, 233, 3146, 61842
2.7, 49417, 1439, 2099, 5, 0, 354, 3881, 18834
2.66, 47375, 1204, 1419, 44, 0, 269, 3198, 75424
2.5, 46161, 3608, 6083, 404, 0, 1224, 9036, 85929
2.5, 46161, 3608, 6083, 404, 0, 1224, 9036, 85929
2.58, 54205, 598, 648, 7, 0, 171, 1540, 61854
2.21, 49500, 8902, 9426, 601, 0, 2673, 20178, 22902
2.58, 54205, 598, 648, 7, 0, 171, 1540, 61854
3.36, 129144, 4938, 5233, 186, 0, 591, 16693, 20132
2.6, 50238, 15939, 17480, 1603, 0, 4663, 41580, 29651
2.66, 47375, 1204, 1419, 44, 0, 269, 3198, 75424
2.5, 46161, 3608, 6083, 404, 0, 1224, 9036, 85929
2.7, 49417, 1439, 2099, 5, 0, 354, 3881, 18834
2.7, 45142, 8657, 9718, 1953, 59, 3470, 23865, 46041
3, 37455, 16656, 19337, 10717, 57, 10865, 50140, 30721
2.39, 54861, 846, 2805, 64, 0, 173, 2029, 28717
2.39, 54861, 846, 2805, 64, 0, 173, 2029, 28717
2.4, 44804, 11344, 12537, 556, 0, 3561, 27866, 46176
2.79, 105488, 2856, 3033, 17, 0, 552, 7968, 66085
2.34, 37005, 11433, 13204, 190, 7, 4307, 29813, 47362
2.34, 37005, 11433, 13204, 190, 7, 4307, 29813, 47362
2.31, 40189, 10688, 12193, 956, 0, 4267, 25346, 35611
2.38, 30166, 10134, 11779, 970, 0, 6842, 26335, 37311
2.68, 68461, 11295, 12287, 307, 0, 2636, 30297, 64015
2.78, 66493, 9114, 9538, 78, 0, 1933, 25528, 64014
2.59, 45773, 16049, 17834, 2232, 29, 6406, 45252, 49423
2.38, 59861, 325, 380, 0, 0, 74, 772, 66554
2.79, 105488, 2856, 3033, 17, 0, 552, 7968, 66085
2.79, 105488, 2856, 3033, 17, 0, 552, 7968, 66085
2.33, 108878, 8281, 8743, 78, 0, 403, 19438, 66209
2.64, 86669, 10757, 11278, 248, 0, 1109, 28441, 66213
2.8, 82799, 25814, 26781, 1504, 155, 3378, 73230, 66062
2.79, 105488, 2856, 3033, 17, 0, 552, 7968, 66085
2.38, 48081, 5117, 6058, 12, 0, 1232, 12192, 48001
2.7, 96913, 5765, 5863, 80, 0, 567, 16087, 01106
2.99, 89900, 17153, 17977, 1739, 150, 2476, 51409, 78681
3.07, 42090, 6300, 7176, 3624, 0, 3227, 19611, 79045
2.75, 68810, 19572, 20447, 2652, 102, 3645, 53876, 76137
2.64, 57030, 8567, 9620, 883, 12, 2056, 24532, 78602
3.04, 44717, 4859, 5739, 1033, 14, 2817, 16772, 78644
3.07, 110320, 13717, 14108, 298, 0, 1164, 42198, 75028
2.35, 54087, 5663, 6238, 959, 0, 1305, 13326, 78754
2.26, 30863, 8923, 10581, 60, 0, 4618, 20383, 24701
2.26, 30863, 8923, 10581, 60, 0, 4618, 20383, 24701
2.26, 30863, 8923, 10581, 60, 0, 4618, 20383, 24701
2.35, 34142, 6973, 8555, 198, 0, 4437, 19475, 40351
2.48, 48151, 18236, 20097, 294, 0, 6265, 46493, 42701
2.44, 41953, 447, 527, 0, 0, 138, 1133, 74333
2.44, 41953, 447, 527, 0, 0, 138, 1133, 74333
2.44, 41953, 447, 527, 0, 0, 138, 1133, 74333
2.31, 52910, 8351, 8852, 1214, 0, 2256, 19466, 66203
2.26, 35825, 18133, 19634, 586, 14, 12189, 43274, 66502
2.75, 55933, 25057, 28060, 7849, 30, 9493, 69121, 85225
2.28, 59011, 12136, 12992, 1180, 0, 1688, 27994, 55118
2.53, 54375, 789, 844, 6, 0, 181, 1996, 67074
2.53, 54375, 789, 844, 6, 0, 181, 1996, 67074
2.53, 54375, 789, 844, 6, 0, 181, 1996, 67074
2.85, 23500, 308, 417, 26, 0, 147, 882, 23968
2.85, 23500, 308, 417, 26, 0, 147, 882, 23968
3.25, 31563, 182, 320, 0, 0, 204, 592, 87005
2.52, 72009, 11698, 13612, 341, 0, 1772, 29600, 32578
2.26, 30863, 8923, 10581, 60, 0, 4618, 20383, 24701
2.56, 36701, 6430, 7794, 112, 0, 3800, 16619, 36027
2.35, 35782, 5413, 5874, 0, 9, 2335, 12718, 37618
2.35, 35782, 5413, 5874, 0, 9, 2335, 12718, 37618
2.1, 54643, 360, 388, 6, 0, 40, 756, 55941
2.75, 100625, 6960, 7243, 178, 0, 549, 19132, 55317
2.94, 58750, 649, 743, 6, 0, 97, 1909, 76433
2.4, 43240, 11649, 12809, 284, 24, 4284, 28621, 52732
2.61, 80675, 11738, 12488, 421, 0, 1329, 30688, 35226
3.71, 84419, 6189, 6385, 74, 0, 618, 23018, 84075
3.16, 40089, 347, 585, 0, 0, 396, 1120, 84512
2.3, 39670, 6016, 6564, 0, 0, 2071, 14200, 03743
2.32, 39801, 3310, 3957, 23, 0, 896, 8408, 53821
2.41, 52361, 3320, 3914, 46, 0, 613, 8149, 55041
2.32, 39801, 3310, 3957, 23, 0, 896, 8408, 53821
2.32, 39801, 3310, 3957, 23, 0, 896, 8408, 53821
3.78, 86279, 9278, 9635, 261, 0, 1403, 36053, 84065
2.65, 61563, 499, 546, 0, 0, 126, 1324, 62621
2.65, 61563, 499, 546, 0, 0, 126, 1324, 62621
2.65, 61563, 499, 546, 0, 0, 126, 1324, 62621
2.31, 37967, 7438, 8020, 583, 0, 2983, 17599, 69361
2.27, 63040, 16812, 18401, 717, 19, 3428, 38667, 43235
2.7, 56639, 12116, 14767, 4270, 0, 4060, 32690, 29910
2.4, 41719, 15283, 17177, 264, 0, 6242, 37009, 49441
2.41, 59500, 2412, 2458, 0, 0, 297, 6550, 45817
2.7, 56639, 12116, 14767, 4270, 0, 4060, 32690, 29910
2.41, 59500, 2412, 2458, 0, 0, 297, 6550, 45817
2.41, 46372, 5859, 6471, 98, 9, 1617, 14474, 46714
2.7, 56639, 12116, 14767, 4270, 0, 4060, 32690, 29910
2.41, 59500, 2412, 2458, 0, 0, 297, 6550, 45817
2.41, 46372, 5859, 6471, 98, 9, 1617, 14474, 46714
2.41, 46372, 5859, 6471, 98, 9, 1617, 14474, 46714
2.6, 53173, 1879, 2077, 0, 0, 654, 4891, 62239
2.96, 49146, 15236, 16573, 1867, 0, 8140, 45798, 87401
2.29, 41188, 13752, 14786, 185, 0, 6069, 35512, 55987
2.79, 34499, 11115, 15497, 184, 0, 5980, 31155, 21213
2.5, 31018, 10409, 15032, 16, 0, 7294, 26502, 21216
2.77, 49861, 671, 755, 1, 0, 195, 1870, 62814
2.12, 27418, 7661, 9379, 281, 0, 4642, 19789, 27401
3.17, 42796, 593, 751, 28, 0, 231, 1879, 76627
3.17, 42796, 593, 751, 28, 0, 231, 1879, 76627
2.2, 36118, 585, 697, 5, 0, 322, 1438, 57438
2.14, 47020, 9910, 10668, 976, 0, 1890, 21191, 68127
2.59, 47250, 168, 193, 18, 0, 36, 435, 57522
2.46, 39323, 13676, 15697, 1508, 20, 6084, 33597, 29605
2.65, 41063, 721, 902, 22, 0, 459, 1913, 30805
2.78, 43117, 6131, 8804, 3368, 8, 2900, 25016, 92225
2.54, 66269, 6175, 6553, 554, 0, 946, 15736, 60546
3.3, 53842, 22485, 23996, 14760, 188, 10410, 75267, 91335
2.38, 30166, 10134, 11779, 970, 0, 6842, 26335, 37311
2.89, 99922, 2107, 2197, 271, 0, 726, 8071, 10595
2.6, 34782, 9197, 11333, 166, 0, 6128, 24160, 72315
2.6, 34782, 9197, 11333, 166, 0, 6128, 24160, 72315
2.6, 34782, 9197, 11333, 166, 0, 6128, 24160, 72315
2.6, 34782, 9197, 11333, 166, 0, 6128, 24160, 72315
2.6, 34782, 9197, 11333, 166, 0, 6128, 24160, 72315
2.6, 34782, 9197, 11333, 166, 0, 6128, 24160, 72315
2.67, 75297, 5852, 6143, 71, 0, 858, 15662, 29016
2.67, 75297, 5852, 6143, 71, 0, 858, 15662, 29016
2.03, 41292, 1237, 1479, 0, 0, 308, 2628, 58341
2.66, 70101, 24316, 26648, 790, 8, 4338, 65114, 85308
2.35, 45000, 500, 665, 2, 0, 53, 1186, 59215
2.59, 55056, 4523, 4910, 1307, 29, 1425, 11772, 07062
2.96, 111841, 22540, 23949, 2979, 12, 3166, 66738, 75034
2.24, 33583, 17478, 19124, 177, 6, 14008, 40310, 16801
2.42, 37970, 5933, 6872, 139, 0, 3673, 14694, 25401
2.17, 44517, 15332, 16600, 186, 0, 3537, 33880, 44512
2.21, 41852, 8203, 9389, 70, 0, 3197, 18506, 14760
2.69, 32451, 5665, 6452, 1211, 0, 2287, 15431, 35957
2.69, 32451, 5665, 6452, 1211, 0, 2287, 15431, 35957
2.69, 32451, 5665, 6452, 1211, 0, 2287, 15431, 35957
2.69, 32451, 5665, 6452, 1211, 0, 2287, 15431, 35957
2.28, 46935, 943, 1251, 0, 0, 305, 2235, 58540
2.48, 44370, 11475, 12984, 554, 0, 4619, 30292, 72032
2.57, 48075, 2966, 3167, 160, 35, 843, 7634, 72730
3.18, 38700, 14474, 15158, 21890, 44, 8270, 46270, 33016
2.55, 37609, 5969, 7562, 8, 0, 2624, 15343, 36854
3.44, 38817, 5077, 5459, 3769, 0, 2818, 17945, 78224
2.77, 32841, 13419, 15784, 6018, 13, 10245, 37688, 77642
2.63, 85596, 15329, 16886, 184, 19, 2200, 40469, 35758
2.81, 50115, 16105, 18676, 118, 0, 8120, 45694, 30034
2.53, 80629, 19079, 22328, 716, 0, 2951, 48182, 89052
4.1, 45860, 20244, 21844, 23933, 184, 15888, 83759, 92376
2.62, 42929, 14305, 16307, 2395, 184, 7495, 38972, 30165
2.66, 56013, 7226, 8552, 202, 0, 2956, 19249, 32536
4.45, 43750, 8918, 9638, 15444, 38, 10293, 39743, 92236
2.55, 53592, 11795, 12725, 86, 0, 3819, 30195, 45005
2.53, 34332, 12787, 14731, 1140, 16, 7159, 32981, 37110
3.28, 41763, 10900, 12111, 11053, 132, 7719, 36035, 77502
2.71, 80673, 4562, 4620, 246, 0, 820, 12398, 08048
3.51, 48118, 10135, 10959, 12230, 283, 6037, 36247, 92083
2.53, 48929, 374, 431, 0, 0, 140, 945, 15315
2.02, 40868, 12149, 15839, 218, 0, 3098, 25123, 33707
2.02, 59952, 9194, 13035, 585, 0, 2537, 18616, 33432
2.5, 77606, 8723, 9547, 795, 6, 2087, 22132, 33486
2.5, 77606, 8723, 9547, 795, 6, 2087, 22132, 33486
2.02, 59952, 9194, 13035, 585, 0, 2537, 18616, 33432
2.5, 77606, 8723, 9547, 795, 6, 2087, 22132, 33486
2.5, 77606, 8723, 9547, 795, 6, 2087, 22132, 33486
2.27, 52554, 9175, 9649, 278, 0, 2271, 23655, 64506
2.8, 101111, 158, 158, 18, 0, 0, 548, 94971
2.97, 26814, 6633, 7815, 3764, 0, 7637, 19871, 73129
2.04, 45044, 5413, 6359, 186, 0, 2362, 11667, 19123
2.76, 89292, 21383, 22353, 600, 3, 2983, 59248, 21122
2.3, 41226, 8075, 8979, 69, 0, 2705, 19073, 24523
2.4, 56604, 8108, 8728, 604, 113, 2099, 20749, 97070
2.54, 73007, 10525, 11412, 1098, 0, 1954, 27105, 78006
2.54, 73007, 10525, 11412, 1098, 0, 1954, 27105, 78006
2.54, 73007, 10525, 11412, 1098, 0, 1954, 27105, 78006
2.54, 73007, 10525, 11412, 1098, 0, 1954, 27105, 78006
2.54, 73007, 10525, 11412, 1098, 0, 1954, 27105, 78006
2.76, 46239, 5616, 6343, 1207, 0, 2948, 15525, 74134
2.66, 29725, 7736, 9483, 159, 0, 5799, 20701, 70427
2.66, 29725, 7736, 9483, 159, 0, 5799, 20701, 70427
2.66, 29725, 7736, 9483, 159, 0, 5799, 20701, 70427
2.42, 37617, 8078, 9489, 175, 0, 6948, 27568, 45056
3.19, 62645, 13415, 14073, 4504, 86, 5140, 42883, 60652
3.45, 113306, 5678, 5866, 266, 55, 1152, 19605, 75094
3.13, 43323, 11274, 13021, 9015, 24, 4286, 35275, 34743
2.08, 67288, 13990, 16879, 174, 0, 1028, 29128, 85248
2.9, 75598, 2802, 2917, 512, 0, 572, 8164, 07603
2.77, 45179, 2442, 2961, 0, 0, 736, 6771, 39629
2.49, 48142, 8354, 9677, 579, 28, 3328, 21295, 28570
2.23, 40625, 1851, 2246, 23, 10, 602, 4173, 96064
3.3, 70208, 8596, 8771, 3402, 56, 2109, 28430, 94580
2.51, 44047, 6822, 7363, 176, 40, 2431, 17220, 97424
2.28, 73611, 1202, 1698, 0, 0, 88, 2764, 21915
2.28, 73611, 1202, 1698, 0, 0, 88, 2764, 21915
2.24, 54221, 8106, 8601, 91, 0, 3985, 22164, 52245
2.34, 43916, 5961, 7083, 38, 0, 1663, 14076, 24426
2.66, 40946, 9499, 10717, 524, 0, 5286, 25862, 28152
2.71, 57165, 8057, 8789, 248, 0, 1929, 21890, 29316
2.71, 57165, 8057, 8789, 248, 0, 1929, 21890, 29316
2.71, 57165, 8057, 8789, 248, 0, 1929, 21890, 29316
2.56, 82208, 2149, 2229, 0, 0, 140, 5548, 17007
2.71, 57165, 8057, 8789, 248, 0, 1929, 21890, 29316
2.62, 46946, 11107, 12387, 446, 0, 4606, 29534, 29349
1.55, 33000, 44, 446, 0, 0, 10, 68, 49775
2.83, 43088, 516, 531, 0, 0, 206, 1461, 65612
2.2, 35750, 761, 1068, 104, 0, 418, 1724, 73933
2.2, 35750, 761, 1068, 104, 0, 418, 1724, 73933
2.86, 65309, 17620, 18684, 447, 0, 4039, 50515, 83709
2.06, 45439, 11016, 12229, 123, 6, 3115, 23209, 83702
2.29, 43696, 1684, 1761, 126, 0, 895, 3936, 97227
2.34, 66875, 121, 148, 0, 0, 30, 283, 98538
2.33, 38618, 4069, 5309, 395, 0, 2003, 9869, 33859
2.58, 36561, 18840, 21164, 1757, 7, 10600, 48835, 19148
2.55, 32286, 726, 843, 0, 0, 324, 1853, 74930
2.55, 32286, 726, 843, 0, 0, 324, 1853, 74930
2.55, 32286, 726, 843, 0, 0, 324, 1853, 74930
2.56, 34213, 8876, 9737, 4099, 0, 5843, 23038, 01104
2.32, 45573, 1317, 1493, 15, 0, 367, 3168, 56277
2.68, 29736, 6592, 7779, 1092, 0, 5949, 19207, 32351
2.15, 50238, 656, 719, 22, 0, 133, 1450, 55310
2.59, 44256, 5590, 6724, 171, 0, 2395, 14545, 75474
2.59, 44256, 5590, 6724, 171, 0, 2395, 14545, 75474
2.6, 67662, 16785, 17566, 945, 0, 3648, 43732, 76017
2.59, 44256, 5590, 6724, 171, 0, 2395, 14545, 75474
2.52, 49578, 13009, 14461, 124, 0, 3468, 33306, 71291
2.38, 58082, 7658, 8199, 28, 0, 1374, 18422, 44223
3.05, 91638, 20393, 21358, 1859, 0, 2867, 62175, 75002
2.43, 65341, 461, 757, 6, 0, 264, 1140, 94924
2.43, 25852, 791, 1019, 153, 0, 443, 1959, 77420
3.31, 72652, 16265, 17406, 5771, 31, 4336, 54044, 60440
2.77, 31008, 3381, 4113, 5, 0, 2247, 9802, 38008
2.47, 42663, 6559, 7202, 134, 0, 2684, 16984, 65613
2.47, 42663, 6559, 7202, 134, 0, 2684, 16984, 65613
2.47, 42663, 6559, 7202, 134, 0, 2684, 16984, 65613
2.77, 31008, 3381, 4113, 5, 0, 2247, 9802, 38008
2.47, 42663, 6559, 7202, 134, 0, 2684, 16984, 65613
2.56, 59505, 3444, 3812, 27, 0, 1014, 8916, 13037
2.75, 29375, 83, 93, 0, 0, 106, 228, 14774
2.44, 43316, 1205, 1552, 11, 0, 448, 2944, 14715
2.44, 43316, 1205, 1552, 11, 0, 448, 2944, 14715
2.42, 46763, 2421, 3559, 4, 0, 1547, 6080, 28422
2.79, 115551, 12561, 13086, 566, 0, 567, 35147, 94583
2.78, 83077, 2952, 3216, 351, 0, 480, 15721, 20794
3.87, 50595, 6471, 6796, 2479, 20, 4727, 25355, 92844
3.49, 57837, 16749, 17873, 15203, 71, 8261, 59947, 93906
2.02, 23205, 11691, 14401, 41, 0, 9042, 27247, 44106
2.54, 38721, 19940, 25670, 1515, 13, 15958, 55021, 30318
2.54, 93348, 1973, 2170, 0, 0, 63, 5006, 06043
2.06, 57761, 926, 1856, 0, 0, 106, 1907, 12814
2.22, 41233, 14265, 16458, 3027, 0, 5991, 32006, 27103
2.69, 33578, 8145, 9721, 125, 0, 6071, 22709, 71301
2.95, 83920, 12205, 12925, 173, 0, 1275, 36135, 38002
2.54, 93348, 1973, 2170, 0, 0, 63, 5006, 06043
2.56, 93294, 10972, 11850, 141, 0, 1056, 28190, 97068
2.59, 28621, 1360, 1565, 0, 0, 700, 3518, 39041
2.4, 63807, 19225, 20295, 284, 0, 4121, 47295, 80525
2.29, 43672, 16456, 18487, 56, 0, 6133, 38120, 15068
2.37, 69165, 12625, 13290, 751, 0, 2168, 30391, 23235
2.37, 37658, 15775, 18510, 308, 0, 7518, 38464, 46901
2.37, 37658, 15775, 18510, 308, 0, 7518, 38464, 46901
2.57, 34310, 9155, 10647, 134, 0, 5145, 23824, 38583
2.32, 46105, 632, 705, 0, 0, 109, 1562, 57066
2.32, 46105, 632, 705, 0, 0, 109, 1562, 57066
2.83, 61986, 7507, 7679, 687, 0, 1837, 21493, 38133
2.83, 61986, 7507, 7679, 687, 0, 1837, 21493, 38133
2.31, 61779, 16462, 18070, 107, 0, 3578, 39373, 15108
3.75, 62191, 15890, 16525, 11330, 59, 6616, 59903, 91761
2.69, 69982, 5013, 5526, 318, 0, 788, 13474, 31005
2.69, 69982, 5013, 5526, 318, 0, 788, 13474, 31005
2.6, 43210, 887, 998, 52, 0, 450, 2312, 97623
2.61, 46883, 7169, 8329, 1212, 0, 3132, 19032, 89146
2.6, 43210, 887, 998, 52, 0, 450, 2312, 97623
2.22, 34635, 2053, 2452, 155, 0, 763, 4735, 63353
2.65, 55540, 3662, 3900, 21, 0, 866, 10716, 62246
2.82, 19692, 12497, 17515, 110, 0, 15998, 35837, 60621
2.24, 31769, 7017, 8544, 336, 0, 4383, 17456, 32310
2.18, 34690, 8605, 10937, 27, 0, 3817, 19263, 45237
2.61, 76109, 11817, 12843, 2132, 2, 1658, 31123, 20707
2.12, 44239, 750, 856, 1, 0, 167, 1594, 62510
2.73, 56118, 1332, 1495, 22, 0, 375, 3653, 54107
2.73, 56118, 1332, 1495, 22, 0, 375, 3653, 54107
2.73, 56118, 1332, 1495, 22, 0, 375, 3653, 54107
2.82, 75281, 1841, 1841, 0, 0, 119, 5200, 50035
2.71, 80515, 1755, 2368, 38, 0, 134, 4833, 82941
2.27, 47101, 21303, 23457, 546, 0, 7040, 49807, 40601
2.82, 75281, 1841, 1841, 0, 0, 119, 5200, 50035
2.9, 73011, 8010, 8651, 1744, 111, 2754, 23232, 77505
2.57, 78625, 519, 531, 0, 0, 27, 1334, 60913
1.21, 15838, 711, 1129, 75, 0, 286, 898, 78205
3.02, 37527, 12883, 14197, 7819, 31, 8392, 38989, 75051
2.87, 53703, 7237, 7498, 1767, 9, 2150, 20759, 79703
3.26, 33536, 6129, 7293, 7657, 51, 6564, 20129, 78503
2.37, 38906, 12080, 13405, 797, 0, 4811, 29677, 79605
3.03, 34512, 11913, 14612, 10597, 0, 10439, 37097, 77074
2.66, 42976, 15364, 16751, 8669, 12, 6656, 41708, 79925
2.96, 35122, 16950, 20380, 8664, 37, 15737, 51307, 78550
3.21, 34177, 8772, 10167, 5053, 33, 8323, 30166, 77803
2.27, 55874, 13050, 14377, 550, 11, 2578, 31468, 76904
2.44, 38660, 6000, 7113, 26, 0, 2548, 14661, 25312
2.51, 42613, 4598, 5374, 368, 0, 1982, 13738, 75418
2.68, 40713, 10889, 12266, 4449, 76, 5698, 29837, 79761
2.69, 63734, 11854, 13854, 1110, 24, 2223, 32200, 76502
2.29, 52968, 19442, 21332, 830, 68, 4183, 44684, 79109
2.46, 34238, 21753, 23917, 3962, 9, 16542, 61953, 78666
2.57, 36319, 4773, 5857, 129, 0, 2221, 14098, 32425
2.57, 36319, 4773, 5857, 129, 0, 2221, 14098, 32425
2.36, 36189, 17307, 19550, 2822, 39, 10051, 41154, 85711
2.75, 128466, 6776, 7169, 94, 0, 1306, 18805, 92603
3.16, 34919, 574, 665, 539, 238, 298, 1812, 95313
4.33, 47332, 12678, 13214, 21464, 98, 10697, 55328, 93458
2.76, 41186, 3088, 4059, 1673, 0, 1356, 9737, 85643
2.8, 78455, 11633, 12092, 1010, 0, 2455, 33800, 91750
2.43, 53800, 15156, 24862, 5778, 257, 5765, 36990, 34135
2.43, 53800, 15156, 24862, 5778, 257, 5765, 36990, 34135
2.43, 53800, 15156, 24862, 5778, 257, 5765, 36990, 34135
2.43, 53800, 15156, 24862, 5778, 257, 5765, 36990, 34135
3.86, 69330, 14832, 15440, 7355, 47, 4549, 57668, 90745
2.83, 56510, 25116, 28700, 11441, 57, 8321, 71887, 91910
3.48, 89737, 11681, 13581, 4418, 7, 2452, 40633, 91913
2.36, 69142, 10313, 11018, 998, 0, 1856, 24881, 66215
2.76, 54948, 18517, 21619, 3807, 67, 5964, 51356, 70065
2.6, 54604, 13474, 15122, 353, 0, 4090, 35454, 70458
2.27, 46771, 584, 783, 0, 0, 176, 1323, 59823
3.4, 35924, 9929, 11349, 12987, 24, 8272, 33846, 77017
2.96, 32387, 8564, 9604, 5277, 103, 8109, 26553, 75702
2.47, 50321, 2931, 3160, 24, 0, 561, 7344, 55976
2.27, 46771, 584, 783, 0, 0, 176, 1323, 59823
2.75, 68799, 3919, 4310, 327, 0, 870, 10812, 66012
2.75, 68799, 3919, 4310, 327, 0, 870, 10812, 66012
2.61, 37292, 2900, 3429, 24, 21, 1344, 7708, 83805
