State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Total Students,Total Rate,Native American Count,Native American Rate,Asian/Pacific Islander Count,Asian/Pacific Islander Rate,Black Count,Black Rate,Hispanic Count,Hispanic Rate,Two or More Count,Two or More Rate,White Count,White Rate,Disabilities Count,Disabilities Rate,Economically Disadvantaged Count,Economically Disadvantaged Rate,Limited English Count,Limited English Rate
IOWA,19,1907050,Chariton Comm School District,190705000313,Chariton High School,101,GE95,,.,,.,2,PS,1,PS,,.,98,GE95,11,GE50,48,GE90,8,GE50
IOWA,19,1907080,Charles City Comm School District,190708000319,Charles City High School,106,GE95,1,PS,4,PS,1,PS,2,PS,,.,98,GE95,11,GE50,33,GE90,2,PS
IOWA,19,1907080,Charles City Comm School District,190708000982,Carrie Lane High School,22,60-79,1,PS,,.,,.,2,PS,,.,19,GE80,4,PS,11,GE50,1,PS
IOWA,19,1907110,Charter Oak-Ute Comm School District,190711000326,Charter Oak-Ute High School,30,GE80,1,PS,,.,,.,,.,,.,29,GE80,3,PS,12,GE50,,.
IOWA,19,1907170,Cherokee Comm School District,190717000333,Washington High School,62,90-94,,.,,.,2,PS,4,PS,1,PS,55,GE90,13,GE50,16,GE80,2,PS
IOWA,19,1907170,Cherokee Comm School District,190717000888,Little Sioux Success Center,14,GE50,,.,,.,,.,,.,,.,14,GE50,3,PS,7,LT50,,.
IOWA,19,1907350,Clarinda Comm School District,190735000340,Clarinda High School,73,GE95,,.,1,PS,1,PS,2,PS,,.,69,90-94,6,GE50,26,GE80,,.
IOWA,19,1907350,Clarinda Comm School District,190735000374,Alternative High School Clarinda Comm. School,3,PS,,.,,.,,.,,.,,.,3,PS,,.,1,PS,,.
IOWA,19,1907380,Clarion-Goldfield Comm School District,190738000347,Clarion-Goldfield HS,66,GE95,,.,1,PS,2,PS,12,GE50,,.,51,GE90,4,PS,24,GE80,,.
IOWA,19,1907410,Clarke Comm School District,190741000349,Clarke Community High School,91,85-89,,.,1,PS,1,PS,16,60-79,1,PS,72,90-94,10,GE50,45,80-89,5,PS
