NCES ID,Free Lunch,Reduced Lunch,,,,
191896001122,36,8,,,,
191896001123,10,3,,,,
190897000560,357,63,,,,
190897000561,228,55,,,,
191812001038,107,35,,,,
191812001036,54,30,,,,
191812001068,60,27,,,,
191914001131,43,27,,,,
191914001132,49,28,,,,
191893001119,38,25,,,,
191920002162, , ,,,,
191920001563,59,19,,,,
191013000647,25,7,,,,
191944001145,120,27,,,,
191944001146,52,33,,,,
191944001147,37,17,,,,
190897002166, , ,,,,
192682001570,73,16,,,,
191884001112,55,29,,,,
191884000708,51,28,,,,
190897000563,382,45,,,,
190858000480,344,45,,,,
190654002045,121,16,,,,
199901702063,48,20,,,,
191959001149,71,25,,,,
191959001150,25,15,,,,
191959001151,15,8,,,,
191965001153,70,31,,,,
191965002000,78,34,,,,
191971001156,100,38,,,,
191971001157,53,19,,,,
191974001158,47,15,,,,
191974001160,45,15,,,,
191977001161,55,10,,,,
190897000583,406,61,,,,
190897000565,313,21,,,,
191980001163,53,7,,,,
191980001164,24,5,,,,
191986001166,119,32,,,,
191986001167,91,18,,,,
191989001172,195,47,,,,
191989001173,186,33,,,,
192004001883,36,26,,,,
192004001178,45,22,,,,
193195001863,50,26,,,,
192013001192,44,13,,,,
192010001180,81,31,,,,
192010001181,57,21,,,,
192013001193,505,110,,,,
190675000283,22,12,,,,
192556001459,26,17,,,,
192019001196,78,32,,,,
192019001197,50,32,,,,
192019001360,46,29,,,,
192094001254,104,33,,,,
190486000150,150,32,,,,
192025001202,94,27,,,,
192025002072,119,33,,,,
191041000666,43,24,,,,
192628001051,0,0,,,,
192034001205,117,33,,,,
192034001206,62,20,,,,
192034001922,62,19,,,,
190912001208,35,12,,,,
192046001210,82,32,,,,
192058001218,39,24,,,,
192058001217,50,17,,,,
192058000713,30,9,,,,
192058000712,27,11,,,,
192061001226,235,71,,,,
191824001230, , ,,,,
191152000703,26,13,,,,
191344002138, , ,,,,
190654000255,108,26,,,,
191311000786,92,43,,,,
191311000788,42,21,,,,
191311000170,59,22,,,,
192640001521,47,11,,,,
190759002103,62,17,,,,
190345000785, , ,,,,
190345000043,39,19,,,,
190651000227,93,29,,,,
191710001001,43,19,,,,
191710001947,39,13,,,,
191710001000,56,11,,,,
191710000337,56,18,,,,
191470001392,60,14,,,,
190690000816,60,19,,,,
190000601232,53,28,,,,
190858001977,388,73,,,,
190897000566,767,105,,,,
192640001522,625,110,,,,
190579000190,313,32,,,,
190575000176,67,15,,,,
190575000177,39,14,,,,
190575001620,40,8,,,,
192083001887,50,22,,,,
192085001246,80,38,,,,
192085001245,48,34,,,,
192640001287,558,99,,,,
190000601233,32,14,,,,
192091001923,44,7,,,,
192091001248,29,10,,,,
192091002095,13,8,,,,
192091001249,28,13,,,,
190852002099,26,12,,,,
192094001255,90,42,,,,
192094001256,141,69,,,,
191347000817,50,7,,,,
192100001260,51,27,,,,
192100001258,41,16,,,,
192106001261,31,21,,,,
192106001262,7,5,,,,
192082001242,30,10,,,,
192082001243,29,19,,,,
190369000148,25,10,,,,
192109001265,78,20,,,,
191269000768,199,45,,,,
192112001888,34,9,,,,
192112001889,18,3,,,,
192112001267,9,6,,,,
193087001353,0,0,,,,
192109001266,62,39,,,,
191584002132,176,52,,,,
190369000380,83,26,,,,
190369000074,87,34,,,,
191470000897,173,22,,,,
190354001906,10,1,,,,
192121001270,66,30,,,,
192121001271,47,37,,,,
192124001274,74,30,,,,
192124001275,83,21,,,,
190483001277,60,22,,,,
192532001446,73,26,,,,
191722001006,122,25,,,,
192083001885,22,12,,,,
192160001285,59,15,,,,
190897000567,299,30,,,,
191722000810,52,19,,,,
192160001283,52,30,,,,
192163001288,127,34,,,,
192163001289,129,29,,,,
192166001295,45,13,,,,
192166001294,31,14,,,,
190002102004,96,34,,,,
190002102002,57,23,,,,
190002102003,54,17,,,,
192172001296,32,8,,,,
192172001297,27,15,,,,
192868001657,105,31,,,,
191884000710,99,36,,,,
193048001734,145,50,,,,
190651000228,69,23,,,,
190897000568,15,3,,,,
192181001298,61,4,,,,
192181001299,30,8,,,,
192184001302,53,26,,,,
192184001303,72,16,,,,
192187001094,453,82,,,,
192187001309,227,48,,,,
192187001310,204,37,,,,
192187002087,36,3,,,,
192211001322,501,80,,,,
192124001276,86,31,,,,
190513000163,73,17,,,,
190002501612,0,0,,,,
190002500606,110,30,,,,
190002501334,45,21,,,,
190002501335,40,26,,,,
190897000569,307,61,,,,
190375001336,51,21,,,,
192163001290,46,7,,,,
190369000073,113,52,,,,
192238001338,41,5,,,,
192238001339,25,5,,,,
190486000146,41,17,,,,
199901702060,43,24,,,,
199901702061,38,18,,,,
190651000229,74,33,,,,
192244001343,56,26,,,,
192244001345,103,27,,,,
192244000523,46,17,,,,
192247001350,80,40,,,,
192247001351,48,26,,,,
191134000698,152,29,,,,
191470000898,84,16,,,,
193135001346,57,18,,,,
190897000570,252,36,,,,
191533002057,9,3,,,,
192253000051,541,72,,,,
192253001355,226,51,,,,
192253001356,211,41,,,,
193093000238,76,16,,,,
190897000571,133,76,,,,
191182001979,193,62,,,,
192211001323,72,14,,,,
190654000256,124,22,,,,
191575000942,6,4,,,,
191575000943,23,6,,,,
191473000908,74,38,,,,
190894000831,18,5,,,,
190897000572,96,35,,,,
192311001364,82,23,,,,
192311001361,47,12,,,,
192311001365,9,6,,,,
193063001760,122,27,,,,
192316001367,89,34,,,,
192316001369,54,17,,,,
192316001403,36,14,,,,
192319001372,104,28,,,,
192319001373,44,23,,,,
192319000377,13,0,,,,
190654000257,188,14,,,,
192322001375,64,32,,,,
193048001546,201,63,,,,
199901702062,54,19,,,,
190786002113,163,35,,,,
190786000389,102,21,,,,
190786000104,32,1,,,,
191533002016,15,4,,,,
190786000387,119,30,,,,
190786000388,170,44,,,,
190786002110,239,61,,,,
190786000761,125,28,,,,
190369002139, , ,,,,
190002801381,123,40,,,,
190002801382,87,33,,,,
190786000391,129,20,,,,
193051000931,40,17,,,,
190948001456,224,28,,,,
192376001384,19,7,,,,
192379001386,21,12,,,,
192379001387,16,21,,,,
192976001694,16,10,,,,
192400000527,36,2,,,,
192400001397,132,41,,,,
192400001398,105,28,,,,
191266000764,29,12,,,,
192412001405,47,15,,,,
192412001407,14,7,,,,
192412001995,15,5,,,,
192415001409,28,14,,,,
192415001410,18,27,,,,
191185000737,204,32,,,,
191020000652,64,14,,,,
191034000657,99,69,,,,
191034000658,34,27,,,,
190897000728,348,32,,,,
191473000905,55,29,,,,
192311001366,70,15,,,,
190002700260,43,18,,,,
190002700249,57,18,,,,
190002700279,77,29,,,,
191182000730,144,10,,,,
192640001526,201,44,,,,
191401000842,33,11,,,,
190999000636,97,21,,,,
190807000401,60,21,,,,
191470000899,154,32,,,,
191473000907,82,29,,,,
192466001414,113,50,,,,
192466001415,77,42,,,,
192496001431,56,11,,,,
191872001093,191,13,,,,
192487001422,65,17,,,,
192487001423,36,10,,,,
192487001424,44,20,,,,
192868001658,43,21,,,,
191107002104,61,26,,,,
190822000431,247,38,,,,
190717000332,119,35,,,,
192640001527,163,23,,,,
191878001109,204,43,,,,
191470000900,186,19,,,,
190897000574,581,99,,,,
190654000258,279,63,,,,
