State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Student Count,Percent Proficient - All,Count - Native American,Percent Proficient - Native American,Count - Asian/Pacific Islander,Percent Proficient - Asian/Pacific Islander,Count-Black,Percent Proficient - Black,Count - Hispanic,Percent Proficient - Hispanic,Count - Two or More Races,Percent Proficient - Two or More Races,Count - White,Percent Proficient - White,Count - Female,Percent Proficient - Female,Count - Male,Percent Proficient - Male,Count - Disabilities,Percent Proficient - Disabilities,Count - Economically Disadvantaged,Percent Proficient - Economically Disadvantaged,Count - Limited English,Percent Proficient - Limited English,Count - Homeless,Percent Proficient - Homeless,Count - Migrant Students,Percent Proficient - Migrant
IOWA,19,1908070,Coon Rapids-Bayard Comm School District,190807000401,Robert Deal Elementary School,26,GE80,0,n/a,0,n/a,0,n/a,0,n/a,2,PS,24,60-79,10,GE50,16,60-79,6,GE50,18,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1912750,Glidden-Ralston Comm School District,191275000771,Glidden-Ralston Elementary School,105,80-84,0,n/a,0,n/a,0,n/a,1,PS,0,n/a,104,80-84,59,80-89,46,70-79,6,GE50,27,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1912750,Glidden-Ralston Comm School District,191275000772,Glidden-Ralston Jr-Sr High School,87,80-84,0,n/a,0,n/a,1,PS,2,PS,0,n/a,84,80-84,41,80-89,46,80-89,2,PS,23,GE80,0,n/a,0,n/a,0,n/a
IOWA,19,1918300,Manning Comm School District,191830001050,IKM-Manning High School,58,70-79,1,PS,0,n/a,0,n/a,1,PS,0,n/a,56,70-79,33,80-89,25,60-79,12,LT50,15,GE50,0,n/a,0,n/a,0,n/a
IOWA,19,1918300,Manning Comm School District,191830001049,Manning Elementary School,63,85-89,0,n/a,0,n/a,2,PS,2,PS,0,n/a,59,GE90,32,GE90,31,80-89,6,GE50,28,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1903660,Anita Comm School District,190366000069,Anita Elementary School,49,GE90,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,49,GE90,29,GE80,20,GE80,8,GE50,15,GE50,0,n/a,0,n/a,0,n/a
IOWA,19,1903660,Anita Comm School District,190366000070,CAM High School,28,60-79,1,PS,1,PS,0,n/a,0,n/a,0,n/a,26,60-79,11,GE50,17,40-59,5,PS,9,LT50,0,n/a,0,n/a,0,n/a
IOWA,19,1903930,Atlantic Comm School District,190393000090,Atlantic High School,110,75-79,0,n/a,0,n/a,1,PS,3,PS,1,PS,105,75-79,55,80-89,55,70-79,15,LT50,36,60-69,0,n/a,0,n/a,0,n/a
IOWA,19,1903930,Atlantic Comm School District,190393000093,Atlantic Middle School,317,80,1,PS,6,LT50,4,PS,4,PS,2,PS,300,80-84,157,80-84,160,75-79,51,30-39,120,65-69,4,PS,0,n/a,0,n/a
IOWA,19,1903930,Atlantic Comm School District,190393000412,Schuler Elementary School,228,84,1,PS,7,GE50,0,n/a,10,GE50,0,n/a,210,85-89,102,80-84,126,85-89,38,30-39,103,70-74,6,GE50,0,n/a,0,n/a
IOWA,19,1903930,Atlantic Comm School District,190393000094,Washington Elementary School,97,80-84,0,n/a,2,PS,0,n/a,7,GE50,0,n/a,88,80-84,42,GE90,55,70-79,11,LT50,50,80-89,5,PS,0,n/a,0,n/a
IOWA,19,1905940,C and M Comm School District,190594000199,C and M Elementary School,42,70-79,0,n/a,2,PS,0,n/a,0,n/a,0,n/a,40,70-79,21,60-79,21,60-79,7,LT50,23,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1905940,C and M Comm School District,190594000200,CAM Middle School,87,65-69,0,n/a,0,n/a,1,PS,0,n/a,0,n/a,86,65-69,43,70-79,44,60-69,13,LT50,47,60-69,0,n/a,0,n/a,0,n/a
IOWA,19,1913230,Griswold Comm School District,191323000795,Elliott Elementary School,59,GE90,0,n/a,0,n/a,0,n/a,1,PS,2,PS,56,GE90,28,GE80,31,GE90,8,GE50,26,GE80,0,n/a,0,n/a,0,n/a
IOWA,19,1913230,Griswold Comm School District,191323000796,Griswold Middle/High School,165,75-79,0,n/a,0,n/a,0,n/a,4,PS,1,PS,160,75-79,85,75-79,80,80-84,19,LE20,62,60-64,0,n/a,0,n/a,0,n/a
IOWA,19,1913230,Griswold Comm School District,191323000798,Lewis Elementary School,60,80-89,0,n/a,0,n/a,0,n/a,4,PS,0,n/a,56,80-89,33,80-89,27,GE80,9,GE50,26,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1904740,Bennett Comm School District,190474000134,Bennett Elementary School,45,80-89,0,n/a,0,n/a,1,PS,3,PS,0,n/a,41,80-89,20,GE80,25,GE80,6,GE50,16,GE80,0,n/a,0,n/a,0,n/a
IOWA,19,1909600,Durant Comm School District,190960000629,Durant Elementary School,84,80-84,0,n/a,0,n/a,0,n/a,0,n/a,1,PS,83,80-84,43,80-89,41,70-79,6,LT50,17,GE80,0,n/a,0,n/a,0,n/a
IOWA,19,1909600,Durant Comm School District,190960000630,Durant High School,67,75-79,0,n/a,0,n/a,0,n/a,1,PS,0,n/a,66,75-79,30,GE80,37,60-69,9,LT50,13,GE50,0,n/a,0,n/a,0,n/a
IOWA,19,1909600,Durant Comm School District,190960000631,Durant Middle School,207,75,0,n/a,0,n/a,0,n/a,7,GE50,1,PS,199,75-79,110,75-79,97,75-79,22,40-59,56,60-69,0,n/a,0,n/a,0,n/a
IOWA,19,1917100,North Cedar Comm School District,191710001001,North Cedar High School,57,70-79,0,n/a,0,n/a,1,PS,2,PS,2,PS,52,60-69,27,60-79,30,60-79,6,LT50,14,GE50,0,n/a,0,n/a,0,n/a
IOWA,19,1917100,North Cedar Comm School District,191710001947,North Cedar Lowden Elementary Center,63,85-89,0,n/a,0,n/a,1,PS,3,PS,0,n/a,59,80-89,37,80-89,26,GE80,4,PS,32,80-89,0,n/a,0,n/a,0,n/a
IOWA,19,1917100,North Cedar Comm School District,191710001000,North Cedar Mechanicsville Elem Ctr,63,75-79,0,n/a,1,PS,1,PS,2,PS,0,n/a,59,70-79,29,60-79,34,70-79,16,21-39,21,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1917100,North Cedar Comm School District,191710000337,North Cedar Middle School,249,66,0,n/a,0,n/a,4,PS,6,GE50,3,PS,236,65-69,130,70-74,119,60-64,44,20-29,70,50-54,0,n/a,0,n/a,0,n/a
IOWA,19,1914880,IKM Comm School District,191488000911,IKM Elementary School,43,GE90,0,n/a,0,n/a,0,n/a,2,PS,0,n/a,41,GE90,22,GE80,21,GE80,7,GE50,15,GE50,2,PS,0,n/a,0,n/a
IOWA,19,1914880,IKM Comm School District,191488000912,IKM Junior High,220,75,0,n/a,0,n/a,1,PS,5,PS,1,PS,213,75-79,110,75-79,110,70-74,29,40-59,66,70-74,1,PS,0,n/a,0,n/a
IOWA,19,1925410,Schleswig Comm School District,192541001452,Schleswig Elementary School,41,80-89,0,n/a,0,n/a,2,PS,8,GE50,0,n/a,31,80-89,21,60-79,20,GE80,7,GE50,24,60-79,5,PS,0,n/a,0,n/a
IOWA,19,1925410,Schleswig Comm School District,192541001451,Schleswig Middle-School,95,75-79,0,n/a,0,n/a,1,PS,10,GE50,0,n/a,84,80-84,46,70-79,49,70-79,8,LT50,41,70-79,7,LT50,0,n/a,0,n/a
IOWA,19,1903150,Adel DeSoto Minburn Comm School District,190315001986,ADM Middle School,345,85,1,PS,3,PS,0,n/a,8,GE50,2,PS,331,86,156,80-84,189,85-89,48,40-49,85,65-69,0,n/a,0,n/a,0,n/a
IOWA,19,1903150,Adel DeSoto Minburn Comm School District,190315000009,ADM Senior High School,125,85-89,0,n/a,2,PS,0,n/a,5,PS,0,n/a,118,85-89,56,GE90,69,85-89,10,LT50,23,GE80,0,n/a,0,n/a,0,n/a
IOWA,19,1903150,Adel DeSoto Minburn Comm School District,190315000010,DeSoto Intermediate School,350,86,0,n/a,2,PS,1,PS,5,PS,5,PS,337,86,178,85-89,172,85-89,42,50-59,88,80-84,0,n/a,0,n/a,0,n/a
IOWA,19,1908520,Dallas Center-Grimes Comm School District,190852000705,Dallas Center Elementary,238,91,0,n/a,1,PS,2,PS,5,PS,1,PS,229,90-94,113,90-94,125,90-94,22,40-59,43,80-89,2,PS,0,n/a,0,n/a
IOWA,19,1908520,Dallas Center-Grimes Comm School District,190852000451,Dallas Center-Grimes High School,127,90-94,0,n/a,4,PS,0,n/a,0,n/a,1,PS,122,90-94,55,GE90,72,85-89,6,LT50,15,GE50,1,PS,0,n/a,0,n/a
IOWA,19,1908520,Dallas Center-Grimes Comm School District,190852000453,Dallas Center-Grimes Middle School,506,83,2,PS,3,PS,6,GE50,15,GE50,6,GE50,474,84,235,85-89,271,80-84,43,40-49,84,60-64,0,n/a,0,n/a,0,n/a
IOWA,19,1908520,Dallas Center-Grimes Comm School District,190852002099,North Ridge Elementary,241,86,1,PS,3,PS,4,PS,8,GE50,2,PS,223,85-89,129,85-89,112,80-84,22,40-59,39,70-79,2,PS,0,n/a,0,n/a
