A0103707, Town: Distant (32), Regular elementary or secondary, N/A, 5.6, 69, 6.1, 0, 0, 0, 0, 34, 0, 35, 10, 4, 9, 2, 5, N/A, 2, 2, N/A, N/A, N/A, N/A, N/A
A0103657, Rural: Remote (43), Regular elementary or secondary, N/A, 7.8, 52, 6.7, 1, 0, 4, 0, 47, 0, N/A, 9, 3, 7, 5, 13, 7, 8, N/A, N/A, N/A, N/A, N/A, N/A
A0103611, City: Small (13), Regular elementary or secondary, N/A, 39.3, 680, 17.3, 3, 16, 12, 1, 648, 0, N/A, 71, 81, 78, 78, 78, 78, 73, 70, 73, N/A, N/A, N/A, N/A
A0103600, City: Small (13), Regular elementary or secondary, N/A, 4.3, 89, 6.5, 0, 0, 1, 1, 26, 0, 61, 5, 3, 3, 5, 3, 9, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0103589, Rural: Distant (42), Regular elementary or secondary, N/A, 9.8, 109, 10.1, 0, 0, 0, 0, 99, 0, 10, N/A, N/A, N/A, N/A, N/A, N/A, 35, 28, 36, N/A, N/A, N/A, N/A
A0103539, Suburb: Large (21), Montessori, N/A, N/A, 101, N/A, 0, 0, 0, 0, 1, 0, 100, 1, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0103533, Town: Remote (33), Regular elementary or secondary, N/A, 14.0, 232, 12.9, 0, 5, 33, 4, 139, 0, 51, 30, 31, 28, 19, 29, 18, 26, N/A, N/A, N/A, N/A, N/A, N/A
A0103511, City: Midsize (12), Regular elementary or secondary, N/A, 20.1, 216, 10.7, 0, 8, 6, 8, 194, 0, N/A, N/A, N/A, N/A, N/A, N/A, 63, 41, 48, 64, N/A, N/A, N/A, N/A
A0103471, Town: Remote (33), Regular elementary or secondary, N/A, 3.9, 43, 11, 0, 0, 3, 0, 40, 0, N/A, 7, 11, 4, 3, 8, 6, 4, N/A, N/A, N/A, N/A, N/A, N/A
A0103467, City: Small (13), Regular elementary or secondary, N/A, 20.3, 256, 11.3, 0, 4, 6, 3, 209, 7, 27, 20, 14, 12, 20, 20, 11, 22, 21, 12, 12, 27, 22, 16
A0103443, Rural: Fringe (41), Regular elementary or secondary, N/A, 7.0, 65, 7.1, 0, 0, 2, 2, 46, 0, 15, 8, 5, 7, 6, 12, 5, 7, N/A, N/A, N/A, N/A, N/A, N/A
A0103396, City: Midsize (12), Montessori, N/A, 1.0, 42, 9, 0, 0, 0, 0, 9, 0, 33, 9, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0103376, Town: Remote (33), Regular elementary or secondary, N/A, 6.5, 40, 6.2, 0, 0, 4, 0, 36, 0, N/A, 1, 2, 2, 5, 8, 2, 3, 4, 3, 3, N/A, 5, 2
A0103340, City: Small (13), Alternative, N/A, 7.0, 176, 20.1, 7, 4, 28, 9, 89, 4, 35, N/A, N/A, N/A, 3, 2, 2, 7, 2, 6, 11, 15, 31, 62
02871919, Town: Distant (32), Regular elementary or secondary, N/A, 18.4, 291, 13.3, 0, 14, 6, 6, 212, 6, 47, 20, 18, 13, 12, 18, 22, 22, 16, 22, 13, 22, 23, 23
02120245, City: Midsize (12), Regular elementary or secondary, N/A, 3.0, 28, 9.3, 1, 0, 2, 7, 14, 4, N/A, 10, 3, 6, 4, 4, 1, N/A, N/A, N/A, N/A, N/A, N/A, N/A
02027971, Town: Distant (32), Regular elementary or secondary, N/A, 23.9, 369, 14.6, 0, 0, 0, 0, 350, 0, 19, 31, 32, 28, 38, 28, 39, 18, 26, 23, 31, 16, 23, 17
02027803, Rural: Fringe (41), Regular elementary or secondary, N/A, 5.1, 105, 12.5, 0, 0, 0, 1, 63, 0, 41, 8, 8, 10, 9, 13, 5, 3, 2, 6, N/A, N/A, N/A, N/A
01933003, Rural: Distant (42), Regular elementary or secondary, N/A, 2.9, 32, 6.9, 1, 0, 1, 0, 18, 0, 12, 5, 2, 1, 4, 1, 1, 1, 5, N/A, N/A, N/A, N/A, N/A
01610514, Town: Remote (33), Regular elementary or secondary, N/A, 5.3, 80, 10.4, 1, 1, 1, 0, 52, 0, 25, 7, 11, 8, 4, 5, 8, 3, 3, 6, N/A, N/A, N/A, N/A
01605694, Town: Remote (33), Early Childhood, N/A, 2.3, 60, 3.9, 0, 0, 0, 0, 8, 1, 51, 9, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
01605548, Town: Remote (33), Regular elementary or secondary, N/A, 14.6, 247, 12.1, 0, 4, 7, 0, 157, 9, 70, 37, 26, 31, 23, 32, 28, N/A, N/A, N/A, N/A, N/A, N/A, N/A
00460013, City: Midsize (12), Regular elementary or secondary, N/A, 25.6, 342, 11.8, 1, 0, 2, 9, 279, 10, 41, 10, 20, 17, 25, 14, 23, 21, 35, 14, 17, 34, 40, 31
00460002, Suburb: Large (21), Regular elementary or secondary, N/A, 2.0, 12, 6, 0, 1, 0, 0, 11, 0, N/A, 1, 1, 1, N/A, 1, N/A, 3, N/A, 1, 1, N/A, 3, N/A
