NCES ID,Total Revenue,Revenue Per Student,Federal Total - Rev,Federal PS Rev,Local Total Rev,Local PS Rev,State Total Rev,State PS Rev,Total Exp,Exp PS,Total Current Exp,Current Exp PS,Exp - Instruction,Exp - Instructional PS,"Total Exp Student, Staf","PS Exp, Student, Staff",Total Exp Admin,PS Exp Admin,Total Exp Ops,PS Exp Ops,Total Capital Outlay,PS Cap Outlay,Total Construction Outlay,PS Construction Outlay,Total Non El-Sec Ed,PS Non El-Sec Ed,Total Interest on Debt,PS Interest on Debt
1911250,"$3,377,000 ","$12,648 ","$334,000 ","$1,251 ","$1,885,000 ","$7,060 ","$1,158,000 ","$4,337 ","$3,242,000 ","$12,142 ","$2,605,000 ","$9,757 ","$1,552,000 ","$5,813 ","$175,000 ",$655 ,"$402,000 ","$1,506 ","$476,000 ","$1,783 ","$312,000 ","$1,169 ","$287,000 ","$1,075 ",$0 ,$0 ,$0 ,$0 
1925410,"$3,380,000 ","$11,010 ","$373,000 ","$1,215 ","$1,678,000 ","$5,466 ","$1,329,000 ","$4,329 ","$3,109,000 ","$10,127 ","$2,210,000 ","$7,199 ","$1,377,000 ","$4,485 ","$66,000 ",$215 ,"$349,000 ","$1,137 ","$418,000 ","$1,362 ","$410,000 ","$1,336 ","$288,000 ",$938 ,$0 ,$0 ,$0 ,$0 
1920100,"$3,426,000 ","$10,740 ","$417,000 ","$1,307 ","$1,507,000 ","$4,724 ","$1,502,000 ","$4,708 ","$3,159,000 ","$9,903 ","$2,848,000 ","$8,928 ","$1,745,000 ","$5,470 ","$192,000 ",$602 ,"$346,000 ","$1,085 ","$565,000 ","$1,771 ","$109,000 ",$342 ,"$33,000 ",$103 ,$0 ,$0 ,"$10,000 ",$31 
1930870,"$3,430,000 ","$11,358 ","$342,000 ","$1,132 ","$2,017,000 ","$6,679 ","$1,071,000 ","$3,546 ","$3,396,000 ","$11,245 ","$2,764,000 ","$9,152 ","$1,802,000 ","$5,967 ","$115,000 ",$381 ,"$367,000 ","$1,215 ","$480,000 ","$1,589 ","$379,000 ","$1,255 ","$161,000 ",$533 ,$0 ,$0 ,"$1,000 ",$3 
1900032,"$3,585,000 ","$13,036 ","$365,000 ","$1,327 ","$2,206,000 ","$8,022 ","$1,014,000 ","$3,687 ","$3,460,000 ","$12,582 ","$2,663,000 ","$9,684 ","$1,836,000 ","$6,676 ","$142,000 ",$516 ,"$238,000 ",$865 ,"$447,000 ","$1,625 ","$217,000 ",$789 ,"$105,000 ",$382 ,$0 ,$0 ,$0 ,$0 
1911970,"$3,660,000 ","$13,759 ","$331,000 ","$1,244 ","$2,238,000 ","$8,414 ","$1,091,000 ","$4,102 ","$3,704,000 ","$13,925 ","$3,244,000 ","$12,195 ","$2,165,000 ","$8,139 ","$182,000 ",$684 ,"$350,000 ","$1,316 ","$547,000 ","$2,056 ","$205,000 ",$771 ,"$125,000 ",$470 ,$0 ,$0 ,$0 ,$0 
1928020,"$3,663,000 ","$11,666 ","$354,000 ","$1,127 ","$1,889,000 ","$6,016 ","$1,420,000 ","$4,522 ","$3,470,000 ","$11,051 ","$3,001,000 ","$9,557 ","$1,926,000 ","$6,134 ","$53,000 ",$169 ,"$307,000 ",$978 ,"$715,000 ","$2,277 ","$171,000 ",$545 ,"$76,000 ",$242 ,$0 ,$0 ,"$40,000 ",$127 
1915660,"$3,683,000 ","$10,375 ","$288,000 ",$811 ,"$2,260,000 ","$6,366 ","$1,135,000 ","$3,197 ","$3,277,000 ","$9,231 ","$2,911,000 ","$8,200 ","$1,924,000 ","$5,420 ","$104,000 ",$293 ,"$279,000 ",$786 ,"$604,000 ","$1,701 ","$109,000 ",$307 ,"$6,000 ",$17 ,"$1,000 ",$3 ,"$73,000 ",$206 
1915180,"$3,686,000 ","$10,653 ","$302,000 ",$873 ,"$1,944,000 ","$5,618 ","$1,440,000 ","$4,162 ","$3,784,000 ","$10,936 ","$2,414,000 ","$6,977 ","$1,430,000 ","$4,133 ","$65,000 ",$188 ,"$373,000 ","$1,078 ","$546,000 ","$1,578 ","$455,000 ","$1,315 ","$369,000 ","$1,066 ",$0 ,$0 ,"$49,000 ",$142 
1921060,"$3,689,000 ","$12,135 ","$390,000 ","$1,283 ","$2,029,000 ","$6,674 ","$1,270,000 ","$4,178 ","$3,582,000 ","$11,783 ","$2,227,000 ","$7,326 ","$1,389,000 ","$4,569 ","$77,000 ",$253 ,"$271,000 ",$891 ,"$490,000 ","$1,612 ","$173,000 ",$569 ,$0 ,$0 ,"$8,000 ",$26 ,"$25,000 ",$82 
1903450,"$3,727,000 ","$11,398 ","$333,000 ","$1,018 ","$1,998,000 ","$6,110 ","$1,396,000 ","$4,269 ","$3,564,000 ","$10,899 ","$2,713,000 ","$8,297 ","$1,613,000 ","$4,933 ","$91,000 ",$278 ,"$457,000 ","$1,398 ","$552,000 ","$1,688 ","$95,000 ",$291 ,$0 ,$0 ,$0 ,$0 ,"$25,000 ",$76 
1923790,"$3,740,000 ","$10,872 ","$353,000 ","$1,026 ","$1,837,000 ","$5,340 ","$1,550,000 ","$4,506 ","$3,435,000 ","$9,985 ","$3,097,000 ","$9,003 ","$1,980,000 ","$5,756 ","$200,000 ",$581 ,"$442,000 ","$1,285 ","$475,000 ","$1,381 ","$169,000 ",$491 ,"$101,000 ",$294 ,$0 ,$0 ,"$3,000 ",$9 
1916140,"$3,747,000 ","$11,933 ","$379,000 ","$1,207 ","$2,383,000 ","$7,589 ","$985,000 ","$3,137 ","$2,999,000 ","$9,551 ","$2,658,000 ","$8,465 ","$1,658,000 ","$5,280 ","$89,000 ",$283 ,"$352,000 ","$1,121 ","$559,000 ","$1,780 ","$97,000 ",$309 ,"$86,000 ",$274 ,$0 ,$0 ,"$151,000 ",$481 
1903720,"$3,801,000 ","$14,733 ","$312,000 ","$1,209 ","$2,306,000 ","$8,938 ","$1,183,000 ","$4,585 ","$3,666,000 ","$14,209 ","$3,141,000 ","$12,174 ","$2,142,000 ","$8,302 ","$36,000 ",$140 ,"$343,000 ","$1,329 ","$620,000 ","$2,403 ","$144,000 ",$558 ,"$47,000 ",$182 ,$0 ,$0 ,"$31,000 ",$120 
1907110,"$3,911,000 ","$11,675 ","$408,000 ","$1,218 ","$2,150,000 ","$6,418 ","$1,353,000 ","$4,039 ","$3,272,000 ","$9,767 ","$2,856,000 ","$8,525 ","$1,766,000 ","$5,272 ","$118,000 ",$352 ,"$370,000 ","$1,104 ","$602,000 ","$1,797 ","$154,000 ",$460 ,"$14,000 ",$42 ,$0 ,$0 ,"$13,000 ",$39 
1903090,"$3,961,000 ","$10,451 ","$453,000 ","$1,195 ","$1,987,000 ","$5,243 ","$1,521,000 ","$4,013 ","$3,687,000 ","$9,728 ","$3,255,000 ","$8,588 ","$2,080,000 ","$5,488 ","$140,000 ",$369 ,"$300,000 ",$792 ,"$735,000 ","$1,939 ","$134,000 ",$354 ,"$84,000 ",$222 ,"$1,000 ",$3 ,"$7,000 ",$18 
1912750,"$3,978,000 ","$10,722 ","$464,000 ","$1,251 ","$2,033,000 ","$5,480 ","$1,481,000 ","$3,992 ","$3,438,000 ","$9,267 ","$3,032,000 ","$8,173 ","$1,873,000 ","$5,049 ","$309,000 ",$833 ,"$316,000 ",$852 ,"$534,000 ","$1,439 ","$231,000 ",$623 ,$0 ,$0 ,$0 ,$0 ,"$70,000 ",$189 
1918960,"$4,002,000 ","$11,566 ","$460,000 ","$1,329 ","$1,645,000 ","$4,754 ","$1,897,000 ","$5,483 ","$3,505,000 ","$10,130 ","$3,236,000 ","$9,353 ","$2,206,000 ","$6,376 ","$80,000 ",$231 ,"$470,000 ","$1,358 ","$480,000 ","$1,387 ","$94,000 ",$272 ,"$3,000 ",$9 ,$0 ,$0 ,"$64,000 ",$185 
1928560,"$4,008,000 ","$12,000 ","$350,000 ","$1,048 ","$2,737,000 ","$8,195 ","$921,000 ","$2,757 ","$4,792,000 ","$14,347 ","$3,198,000 ","$9,575 ","$1,961,000 ","$5,871 ","$151,000 ",$452 ,"$485,000 ","$1,452 ","$601,000 ","$1,799 ","$646,000 ","$1,934 ",$0 ,$0 ,"$37,000 ",$111 ,$0 ,$0 
1919710,"$4,040,000 ","$11,576 ","$548,000 ","$1,570 ","$1,911,000 ","$5,476 ","$1,581,000 ","$4,530 ","$3,869,000 ","$11,086 ","$3,439,000 ","$9,854 ","$2,277,000 ","$6,524 ","$178,000 ",$510 ,"$405,000 ","$1,160 ","$579,000 ","$1,659 ","$173,000 ",$496 ,"$135,000 ",$387 ,$0 ,$0 ,"$12,000 ",$34 
1903780,"$4,055,000 ","$12,214 ","$446,000 ","$1,343 ","$2,291,000 ","$6,901 ","$1,318,000 ","$3,970 ","$3,380,000 ","$10,181 ","$2,847,000 ","$8,575 ","$1,955,000 ","$5,889 ","$43,000 ",$130 ,"$381,000 ","$1,148 ","$468,000 ","$1,410 ","$89,000 ",$268 ,"$67,000 ",$202 ,"$18,000 ",$54 ,"$58,000 ",$175 
1907440,"$4,120,000 ","$10,098 ","$411,000 ","$1,007 ","$1,770,000 ","$4,338 ","$1,939,000 ","$4,752 ","$3,955,000 ","$9,694 ","$2,871,000 ","$7,037 ","$1,862,000 ","$4,564 ","$147,000 ",$360 ,"$347,000 ",$850 ,"$515,000 ","$1,262 ","$252,000 ",$618 ,"$100,000 ",$245 ,$0 ,$0 ,"$2,000 ",$5 
1929100,"$4,125,000 ","$15,221 ","$262,000 ",$967 ,"$3,490,000 ","$12,878 ","$373,000 ","$1,376 ","$3,985,000 ","$14,705 ","$2,768,000 ","$10,214 ","$1,732,000 ","$6,391 ","$110,000 ",$406 ,"$424,000 ","$1,565 ","$502,000 ","$1,852 ","$723,000 ","$2,668 ","$693,000 ","$2,557 ",$0 ,$0 ,"$2,000 ",$7 
1910130,"$4,206,000 ","$10,184 ","$442,000 ","$1,070 ","$1,872,000 ","$4,533 ","$1,892,000 ","$4,581 ","$4,395,000 ","$10,642 ","$3,755,000 ","$9,092 ","$2,419,000 ","$5,857 ","$305,000 ",$738 ,"$445,000 ","$1,077 ","$586,000 ","$1,419 ","$317,000 ",$768 ,"$128,000 ",$310 ,$0 ,$0 ,$0 ,$0 
